Title;Runtime;Genre;Rating;Actors
Koombiyo;20;Crime, Drama, Thriller;9.9;Thumindu Dodantenne, Kalana Gunasekara, Andrew Pullen, Yureni Noshika
The Filthy Frank Show;12;Short, Comedy, Fantasy;9.9;George Miller, Artemis Holdenberry, Zeeq, Bloody Hairy
Game of Thrones;57;Adventure, Drama, Fantasy;9.5;Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey
Breaking Bad;49;Crime, Drama, Thriller;9.5;Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt
Rick and Morty;22;Animation, Adventure, Comedy;9.4;Chris Parnell, Spencer Grammer, Sarah Chalke, Justin Roiland
The Wire;59;Crime, Drama, Thriller;9.3;Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce
TVF Pitchers;40;Comedy, Drama;9.3;Naveen Kasturia, Arunabh Kumar, Jitendra Kumar, Abhay Mahajan
Sherlock;88;Crime, Drama, Mystery;9.2;Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves
The Sopranos;55;Crime, Drama;9.2;James Gandolfini, Lorraine Bracco, Edie Falco, Michael Imperioli
Avatar: The Last Airbender;23;Animation, Action, Adventure;9.2;Dee Bradley Baker, Zach Tyler, Mae Whitman, Jack De Sena
