Date,Price,High,Low
Nov-17,9710.0,9760.7,5426.0
Oct-17,6458.3,6472.1,4134.9
Sep-17,4367.0,4969.0,2981.0
Aug-17,4718.2,4749.9,2615.8
Jul-17,2856.0,2919.9,1835.8
Jun-17,2420.7,3000.0,2050.0
May-17,2191.8,2689.0,1432.0
Apr-17,1435.2,1449.7,1070.2
Mar-17,1081.7,1328.8,891.0
Feb-17,1189.1,1222.2,936.4
Jan-17,966.2,1166.0,738.7
Dec-16,966.6,983.0,738.8
Nov-16,739.0,762.4,699.0
Oct-16,704.1,724.0,607.0
Sep-16,611.1,636.2,570.6
Aug-16,576.2,627.3,576.2
Jul-16,623.7,707.0,610.1
Jun-16,674.7,789.7,530.7
May-16,530.7,567.0,433.0
Apr-16,446.6,472.0,412.0
Mar-16,416.0,442.8,389.7
Feb-16,439.2,451.2,363.3
Jan-16,365.5,465.0,353.2
Dec-15,429.0,475.0,346.2
Nov-15,376.9,503.4,300.8

